Meses,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Total
44,15755196,Lavine,834,France,Female,49,2,131394.56,1,0,0,194365.76,1
45,15684171,Bianchi,660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0
46,15754849,Tyler,776,Germany,Female,32,4,109421.13,2,1,1,126517.46,0
47,15602280,Martin,829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1
48,15771573,Okagbue,637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1
49,15766205,Yin,550,Germany,Male,38,2,103391.38,1,0,1,90878.13,0
50,15771873,Buccho,776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0
51,15616550,Chidiebele,698,Germany,Male,44,10,116363.37,2,1,0,198059.16,0
52,15768193,Trevisani,585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0
53,15683553,O'Brien,788,France,Female,33,5,0,2,0,0,116978.19,0
54,15702298,Parkhill,655,Germany,Male,41,8,125561.97,1,0,0,164040.94,1
55,15569590,Yoo,601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1
56,15760861,Phillipps,619,France,Male,43,1,125211.92,1,1,1,113410.49,0
57,15630053,Tsao,656,France,Male,45,5,127864.4,1,1,0,87107.57,0
58,15647091,Endrizzi,725,Germany,Male,19,0,75888.2,1,0,0,45613.75,0
59,15623944,T'ien,511,Spain,Female,66,4,0,1,1,0,1643.11,1
60,15804771,Velazquez,614,France,Male,51,4,40685.92,1,1,1,46775.28,0
61,15651280,Hunter,742,Germany,Male,35,5,136857,1,0,0,84509.57,0
62,15773469,Clark,687,Germany,Female,27,9,152328.88,2,0,0,126494.82,0
63,15702014,Jeffrey,555,Spain,Male,33,1,56084.69,2,0,0,178798.13,0
64,15751208,Pirozzi,684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0

















































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































4882,15614778,Robertson,579,France,Male,31,6,0,2,1,0,26149.25,0
4883,15771750,Sawtell,655,Germany,Female,36,10,122314.39,1,1,0,9181.66,0
4884,15593280,Yuryeva,614,Germany,Male,43,8,140733.74,1,1,1,166588.76,0
4885,15569274,Pisano,678,Germany,Male,49,2,116933.11,1,1,0,195053.58,1
4886,15654408,Kharitonova,562,Spain,Male,41,5,165445.04,2,1,0,85787.31,0
4887,15657468,Simmons,711,Germany,Female,53,5,123805.03,1,1,0,102428.51,0
4888,15614213,Muramats,620,France,Male,37,0,107548.94,1,1,0,71175.94,0
4889,15589869,Tang,437,France,Male,49,9,111634.29,2,0,1,166440.32,0
4890,15693205,Peng,691,Germany,Female,41,8,109153.96,3,1,1,148848.76,1
4891,15797113,Bevan,552,Spain,Female,34,4,0,2,1,0,140286.69,0
4892,15676958,Zito,765,Germany,Male,34,5,86055.17,2,1,1,104220.5,0
4893,15739592,Sokolov,707,Germany,Female,51,10,98438.23,1,0,0,70778.63,1
4894,15656263,Teng,764,Spain,Male,29,5,0,2,1,0,65868.28,0
4895,15636872,Amadi,585,France,Female,32,8,144705.87,2,0,0,171482.56,0
4896,15589435,Davide,784,France,Male,31,7,0,2,1,1,143204.41,0
4897,15640464,Parkes,605,France,Male,41,5,91612.91,1,1,1,28427.84,0
4898,15723851,Mazzanti,699,Spain,Male,40,2,0,1,1,0,78387.32,0
4899,15722122,Findlay,544,France,Female,40,7,0,1,0,1,161076.92,0
4900,15696852,Hsu,803,France,Female,32,9,192122.84,1,1,1,54277.45,1
4901,15634936,Chukwukadibia,735,France,Male,41,7,179904,1,1,1,137180.95,0
4902,15575935,Baxter,673,France,Male,59,0,178058.06,2,0,1,21063.71,1
4903,15634491,Kung,652,France,Male,30,2,176166.56,2,1,1,152210.81,0
4904,15628530,Booth,694,France,Male,42,3,156864.2,2,0,0,88890.75,0
4905,15678720,Evans,741,France,Female,44,7,0,2,1,1,190534.76,0
4906,15627999,Kung,590,Spain,Male,30,3,0,2,1,0,83090.35,0
4907,15571244,Tung,809,Spain,Female,33,3,0,2,0,1,141426.78,0
4908,15739931,Yuan,523,France,Male,34,2,161588.89,1,1,1,51358.66,0
4909,15806256,Jackson,540,France,Male,48,2,109349.29,1,1,0,88703.04,1
4910,15787258,Ross,596,Spain,Female,29,6,0,2,1,0,116696.77,0
4911,15706463,Yang,597,France,Female,36,9,0,2,1,1,7156.09,0
4912,15691004,Yu,407,Spain,Male,37,1,0,1,1,1,49161.12,1
4913,15792228,Onwumelu,748,France,Male,60,0,152335.7,1,1,0,126743.33,1
4914,15733447,Gay,562,France,Female,51,1,124662.54,1,1,1,65390.46,1
4915,15679062,Morrison,734,Germany,Female,47,10,91522.04,2,1,1,138835.91,0
4916,15594409,Belov,710,France,Male,45,1,0,2,1,1,36154.66,0
4917,15613816,Mao,539,Spain,Female,39,6,62052.28,1,0,1,59755.14,0
4918,15681991,Walsh,542,France,Male,32,7,107871.72,1,1,0,125302.64,0
4919,15796074,Bruno,717,France,Female,36,2,99472.76,2,1,0,94274.72,1
4920,15625941,Gray,682,Spain,Female,50,10,128039.01,1,1,1,102260.16,0
4921,15615016,Maurer,515,France,Male,33,2,0,2,1,1,136028.97,0
4922,15748414,Chiang,526,Spain,Female,33,8,114634.63,2,1,0,110114.38,1
4923,15751203,Cattaneo,702,France,Male,26,5,56738.47,2,1,1,100442.22,1
4924,15662658,Grieve,651,Germany,Male,34,2,90355.12,2,0,0,193597.94,0
4925,15574868,Lowell,792,Germany,Male,36,5,115725.24,2,0,0,1871.25,0
4926,15790282,Trentino,817,Germany,Male,58,3,114327.59,2,1,1,42831.11,0
4927,15762927,Sung,674,Germany,Female,36,6,100762.64,1,1,0,182156.86,0
4928,15803456,Yen,641,France,Female,40,9,0,1,0,0,151648.66,1
4929,15771857,Philipp,513,Spain,Male,39,7,89039.9,2,1,1,146738.83,0























4953,15731543,Becker,679,Spain,Male,58,9,109327.65,1,1,1,3829.13,0
4954,15684516,Plascencia,629,Spain,Male,34,1,121151.05,1,0,0,119357.93,0
4955,15677249,Somadina,731,Spain,Male,42,9,101043.63,1,1,1,192175.52,0
4956,15581525,Walker,775,Germany,Male,33,3,83501.66,2,1,0,128841.31,0
4957,15628420,Alekseeva,660,Spain,Male,33,2,80462.24,1,0,0,150422.35,0
4958,15600478,Watson,752,France,Male,39,3,0,1,1,0,188187.05,0
4959,15594502,Zotov,655,France,Male,37,6,109093.41,2,1,0,1775.52,0
4960,15784361,Williamson,543,Spain,Female,46,5,140355.6,1,1,1,85086.78,0
4961,15767626,Carpenter,811,France,Male,42,10,0,2,1,1,3797.79,0
4962,15632521,Cattaneo,689,Germany,Male,45,0,130170.82,2,1,0,150856.38,0
4963,15665088,Gordon,531,France,Female,42,2,0,2,0,1,90537.47,0
4964,15652084,Boni,515,France,Male,40,0,109542.29,1,1,1,166370.81,0
4965,15574761,Lynch,466,France,Female,41,3,33563.95,2,1,0,178994.13,1
4966,15729515,McCarthy,782,France,Male,36,1,148795.17,2,1,1,195681.43,0
4967,15682070,Davies,611,France,Male,64,9,0,2,1,1,53277.15,0
4968,15743817,Hargreaves,621,Germany,Male,40,8,174126.75,3,1,0,172490.78,1
4969,15572158,Blackburn,604,Spain,Male,41,3,0,1,0,0,11819.84,0
4970,15584477,K?,655,Spain,Female,35,1,106405.03,1,1,1,82900.25,0
4971,15614893,Meng,689,Spain,Male,38,2,0,1,1,1,82709.8,0
4972,15665963,Cattaneo,681,Spain,Male,30,2,128393.29,1,1,1,180593.45,0
4973,15612524,Hunt,643,Germany,Male,41,2,127841.52,1,1,0,172363.41,0
4974,15596962,Owens,617,France,Female,24,4,137295.19,2,1,1,91195.12,0
4975,15744942,Steele,638,Spain,Female,55,2,155828.22,1,0,1,108987.25,1
4976,15573278,Kennedy,743,France,Male,39,6,0,2,1,0,44265.28,0
4977,15717056,Pan,828,Germany,Female,25,7,144351.86,1,1,0,116613.26,0
4978,15795881,Alexander,776,Spain,Male,35,8,106365.29,1,1,1,148527.56,0
4979,15758939,Bray,540,Germany,Male,35,7,127801.88,1,0,1,84239.46,0
4980,15792250,Nnabuife,616,Germany,Female,45,4,122793.96,1,1,1,62002.04,0
4981,15740406,Padovesi,628,Germany,Male,38,10,113525.84,1,1,0,46044.48,1
4982,15768137,Bray,667,Spain,Female,23,6,136100.69,2,0,0,169669.33,1
4983,15569120,Lucas,615,France,Male,30,7,0,2,1,1,156346.84,0
4984,15723721,Tinline,543,France,Male,30,4,140916.81,1,1,0,157711.18,0
4985,15777122,Esomchi,553,France,Female,31,4,0,2,1,1,89087.4,0
4986,15742681,Liao,554,Germany,Male,26,4,121365.39,1,1,1,8742.36,0
4987,15582090,Iroawuchi,684,Spain,Female,36,4,0,1,1,0,117038.96,0
4988,15711254,Retana,452,France,Female,35,7,0,2,1,0,164241.67,0
4989,15775067,Fang,606,France,Male,47,3,93578.68,2,0,1,137720.56,1
4990,15602851,Ozioma,629,France,Male,40,9,0,1,1,0,106.67,0
4991,15802857,Robson,659,Spain,Female,33,8,115409.6,1,0,1,1539.21,0
4992,15701175,Bruno,493,France,Female,33,8,90791.69,1,1,1,59659.53,0
4993,15783019,Price,794,France,Female,62,9,123681.32,3,1,0,173586.63,1
4994,15728912,Swanson,554,France,Female,44,6,92436.86,1,1,0,126033.9,0
4995,15585580,Chang,796,Germany,Female,52,9,167194.36,1,1,1,62808.93,1
4996,15583480,Morgan,807,France,Female,36,4,0,2,0,1,147007.33,0
4997,15620341,Nwebube,500,Germany,Male,44,9,160838.13,2,1,0,196261.64,0
4998,15613886,Trevisan,722,Spain,Male,43,1,0,1,1,0,44560.17,1
4999,15792916,Ositadimma,559,Spain,Female,40,7,144470.77,1,1,1,18917.95,0
5000,15710408,Cunningham,584,Spain,Female,38,3,0,2,1,1,4525.4,0
5001,15598695,Fields,834,Germany,Female,68,9,130169.27,2,0,1,93112.2,0
5002,15649354,Johnston,754,Spain,Male,35,4,0,2,1,1,9658.41,0
5003,15737556,Vasilyev,590,France,Male,43,7,81076.8,2,1,1,182627.25,1
5004,15671610,Hooper,740,France,Male,36,7,0,1,1,1,13177.4,0
5005,15625092,Colombo,502,Germany,Female,57,3,101465.31,1,1,0,43568.31,1
5006,15741032,Tsao,733,France,Male,48,5,0,1,0,1,117830.57,0
5007,15750014,Chikere,755,Germany,Female,37,0,113865.23,2,1,1,117396.25,0
5008,15784761,Ballard,554,Spain,Female,46,7,87603.35,3,0,1,96929.24,1
5009,15768359,Akhtar,534,France,Male,36,4,120037.96,1,1,0,36275.94,0
5010,15805769,O'Loughlin,656,Spain,Male,33,4,0,2,1,0,116706,0
5011,15719508,Davis,575,Germany,Male,49,7,121205.15,4,1,1,168080.53,1
5012,15609011,Barry,480,Spain,Male,47,8,75408.33,1,1,0,25887.89,1
5013,15703106,K'ung,575,France,Male,40,5,0,2,1,1,122488.59,0
5014,15626795,Gorman,672,France,Female,40,3,0,1,1,0,113171.61,1
5015,15773731,John,758,Spain,Female,35,5,0,2,0,0,100365.51,0
5016,15756196,Tsou,682,France,Male,50,6,121818.84,2,0,1,124151.37,0
5017,15687903,Okonkwo,501,France,Female,29,8,0,2,1,0,112664.24,0
5018,15777599,Esposito,746,Germany,Male,34,6,141806,2,1,1,183494.87,0
5019,15754577,Boni,556,France,Female,51,8,61354.14,1,1,0,198810.65,1
5020,15584113,Pratt,823,Germany,Female,53,4,124954.94,1,0,1,131259.6,1
5021,15669589,Page,491,Germany,Female,68,1,95039.12,1,0,1,116471.14,1
5022,15632793,Wilkinson,638,France,Female,29,9,103417.74,1,1,1,15336.4,0
5023,15711130,Tseng,734,France,Male,45,2,0,2,1,0,99593.28,0
5024,15615254,Clark,555,France,Male,40,10,43028.77,1,1,0,170514.21,0
5025,15720583,Finch,745,Germany,Female,44,0,119638.21,1,1,1,34265.08,1
5026,15780432,Shen,728,France,Male,37,3,122689.51,2,0,0,106977.53,1
5027,15673223,Hou,626,France,Male,44,10,0,2,0,0,164287.86,0
5028,15807989,Wall,681,Germany,Male,37,8,73179.34,2,1,1,25292.53,0
5029,15761168,Manna,478,France,Female,38,4,171913.87,1,1,0,51820.87,1
5030,15651272,Reyes,709,France,Male,38,5,0,2,1,1,81452.29,0
5031,15812832,Jideofor,562,Germany,Male,33,8,92659.2,2,1,0,1354.25,0
5032,15680517,Sal,769,Germany,Female,34,7,137239.17,1,1,1,71379.92,1
5033,15750569,Iweobiegbunam,684,Germany,Female,46,3,102955.14,2,1,0,154137.33,0
5034,15690743,Shao,536,France,Female,61,8,65190.29,1,1,1,64308.49,1
5035,15627741,Heath,631,Germany,Female,29,2,96863.52,2,1,1,31613.35,0
5036,15712121,Chidimma,657,Spain,Male,34,5,154983.98,1,1,0,27738.01,0
5037,15805429,Murray,699,Germany,Male,59,3,106819.65,1,0,1,163570.25,0
5038,15814923,Sullivan,606,Spain,Male,38,7,128578.52,1,1,1,193878.51,0
5039,15589230,Wu,612,France,Female,63,2,126473.33,1,0,1,147545.65,0
5040,15775490,Downie,660,France,Female,38,5,110570.78,2,1,0,195906.59,0
5041,15749727,Chukwufumnanya,829,Spain,Male,50,7,0,2,0,1,178458.86,0
5042,15619238,Allan,567,Spain,Male,29,8,0,2,1,0,156125.72,0
5043,15593468,Findlay,850,France,Female,33,3,0,2,1,1,11159.19,0
5044,15718454,Ch'eng,712,Spain,Female,44,2,0,2,0,0,45738.94,0
5045,15789498,Miller,562,France,Male,30,3,111099.79,2,0,0,140650.19,0
5046,15744691,Tsai,755,France,Female,29,3,0,3,1,0,4733.94,0
5047,15708289,Graham,793,Spain,Male,25,3,100913.57,1,0,0,10579.72,0
5048,15790412,Norton,471,Spain,Male,26,8,0,2,1,1,179655.87,0
5049,15741416,Yegorov,707,France,Male,42,2,16893.59,1,1,1,77502.56,0
5050,15598894,Holt,784,Spain,Male,38,10,122267.85,1,0,0,145759.93,0
5051,15663294,Kao,703,France,Male,32,1,125685.79,1,1,1,56246.72,0
5052,15572728,Ross,704,Spain,Male,36,8,127397.34,1,1,0,151335.24,0
5053,15706729,Hsiao,662,France,Male,38,0,105271.56,1,0,1,179833.45,0
5054,15674433,Allan,636,Germany,Female,28,2,115265.14,1,0,0,191627.85,0
5055,15641170,Liang,640,Spain,Male,36,4,0,1,0,0,173016.46,0
5056,15806284,Briggs,739,Spain,Male,31,1,0,2,1,1,58469.75,0
5057,15690958,Cantrell,767,Germany,Male,23,2,139542.82,1,0,1,28038.28,0
